taylor_seq_len,taylor_num_samples,output_dir,ppl,acc_mean,acc_boolq,acc_piqa,acc_hellaswag,acc_winogrande,acc_arc_easy,acc_arc_challenge,acc_openbookqa,params_count,pruning_ratio,grad_mean_ratio,grad_norm_ratio,grad_std_ratio,grad_max_ratio,grad_mean_range,grad_norm_range,extreme_pruning_layers,elapsed_time,success,pruning_method
32.0,4.0,results/search_Mistral_20/exp_001_taylor_seq_len32_taylor_num_samples4,38.56301498413086,0.4597534091702439,0.44831804281345566,0.6958650707290533,0.5084644493128859,0.5114443567482242,0.43392255892255893,0.318259385665529,0.302,,0.19999864371301646,2.3847330848865997,5.267406745524027,,,0.00034481949276394315,10.039678785536024,1.0,,True,taylor
32.0,64.0,results/search_Mistral_20/exp_002_taylor_seq_len32_taylor_num_samples64,45.395477294921875,0.4425844406663521,0.38654434250764524,0.7078346028291621,0.49044015136427005,0.5217048145224941,0.42045454545454547,0.3191126279863481,0.252,,0.19999977395216942,2.5104783350345086,6.143748723947648,,,0.0012858642472161185,36.754083169831176,6.0,,True,taylor
32.0,128.0,results/search_Mistral_20/exp_003_taylor_seq_len32_taylor_num_samples128,51.05758285522461,0.4595893507407664,0.45718654434250766,0.7257889009793254,0.49362676757618007,0.4956590370955012,0.4696969696969697,0.30716723549488056,0.268,,0.19999920883259292,2.2817000133440066,5.898936182392605,,,0.0016801365547709996,51.97559113634957,5.0,,True,taylor
32.0,256.0,results/search_Mistral_20/exp_004_taylor_seq_len32_taylor_num_samples256,55.110107421875,0.444993004255089,0.3801223241590214,0.719804134929271,0.47410874327823144,0.5035516969218626,0.44107744107744107,0.3122866894197952,0.284,,0.19999864371301646,2.098714494057376,6.034049377406727,,,0.0021295308445890746,77.18887472483846,5.0,,True,taylor
32.0,512.0,results/search_Mistral_20/exp_005_taylor_seq_len32_taylor_num_samples512,36.007484436035156,0.46280802190530396,0.4938837920489297,0.7127312295973884,0.49352718581955785,0.5122336227308603,0.45496632996632996,0.30631399317406144,0.266,,0.19999920883259292,1.9903918182549432,6.8213881305501936,,,0.0027918588473565048,129.0507107062472,7.0,,True,taylor
64.0,4.0,results/search_Mistral_20/exp_006_taylor_seq_len64_taylor_num_samples4,74.08329772949219,0.413823800777921,0.3782874617737003,0.6556039173014145,0.37930691097390956,0.5169692186266772,0.4116161616161616,0.28498293515358364,0.27,,0.19999920883259292,1.7867139289347225,4.194264718430934,,,0.00014989243613349064,5.6131576961941185,1.0,,True,taylor
64.0,64.0,results/search_Mistral_20/exp_007_taylor_seq_len64_taylor_num_samples64,18.7897891998291,0.45053470198172657,0.39571865443425075,0.7116430903155604,0.47321250746863175,0.5343330702446725,0.4292929292929293,0.28754266211604096,0.322,,0.19999920883259292,2.037950840034013,8.083941343853787,,,0.0011333318220244516,58.71795486079321,7.0,,True,taylor
64.0,128.0,results/search_Mistral_20/exp_008_taylor_seq_len64_taylor_num_samples128,9.725076675415039,0.5444460281922503,0.6464831804281346,0.7568008705114254,0.5830511850229038,0.5951065509076559,0.5576599326599326,0.30802047781569963,0.364,,0.19999920883259292,2.901091684162015,10.71940002699822,,,0.004037643472353618,170.14703506893582,7.0,,True,taylor
64.0,256.0,results/search_Mistral_20/exp_009_taylor_seq_len64_taylor_num_samples256,12.008784294128418,0.5420902712400908,0.6470948012232416,0.750816104461371,0.5770762796255726,0.6022099447513812,0.5736531986531986,0.2977815699658703,0.346,,0.19999977395216942,4.082191869130726,15.947325587464887,,,0.011083627947502667,429.07584725485907,7.0,,True,taylor
64.0,512.0,results/search_Mistral_20/exp_010_taylor_seq_len64_taylor_num_samples512,11.78040599822998,0.5319574666008977,0.653822629969419,0.7578890097932536,0.5568611830312686,0.5808997632202052,0.5509259259259259,0.2773037542662116,0.346,,0.19999977395216942,4.896837151245761,19.090102289431456,,,0.02208393905311823,821.6850058502621,8.0,,True,taylor
128.0,4.0,results/search_Mistral_20/exp_011_taylor_seq_len128_taylor_num_samples4,104.66436767578125,0.39192784457902835,0.3782874617737003,0.5903155603917302,0.3272256522605059,0.5217048145224941,0.38257575757575757,0.2593856655290102,0.284,,0.19999920883259292,1.809285099157732,3.8317598844532736,,,0.000101115968492296,3.6404895782470708,1.0,,True,taylor
128.0,64.0,results/search_Mistral_20/exp_012_taylor_seq_len128_taylor_num_samples64,15.429847717285156,0.5138799865881375,0.6510703363914373,0.7110990206746464,0.5082652857996415,0.5619573796369376,0.5252525252525253,0.2935153583617747,0.346,,0.19999977395216942,7.06679538267757,26.490057102059172,,,0.01771246227953169,623.1408154699537,10.0,,True,taylor
128.0,128.0,results/search_Mistral_20/exp_013_taylor_seq_len128_taylor_num_samples128,18.08980941772461,0.4957251758535674,0.6180428134556575,0.7029379760609358,0.4819757020513842,0.5572217837411207,0.49747474747474746,0.28242320819112626,0.33,,0.19999977395216942,7.510195040268973,28.24495319556472,,,0.03843469834989972,1345.6863134966957,10.0,,True,taylor
128.0,256.0,results/search_Mistral_20/exp_014_taylor_seq_len128_taylor_num_samples256,27.443387985229492,0.45768705835196843,0.5828746177370031,0.6430903155603918,0.42949611631149176,0.5359116022099447,0.45075757575757575,0.257679180887372,0.304,,0.19999977395216942,7.834989676939054,29.390187452988215,,,0.08108442732029492,2831.0703126457,9.0,,True,taylor
