taylor_seq_len,taylor_num_samples,output_dir,ppl,acc_mean,acc_boolq,acc_piqa,acc_hellaswag,acc_winogrande,acc_arc_easy,acc_arc_challenge,acc_openbookqa,params_count,pruning_ratio,grad_mean_ratio,grad_norm_ratio,grad_std_ratio,grad_max_ratio,grad_mean_range,grad_norm_range,extreme_pruning_layers,elapsed_time,success,pruning_method
32.0,4.0,results/search_Qwen_20/exp_001_taylor_seq_len32_taylor_num_samples4,22.792329788208008,0.5801177059232714,0.7076452599388379,0.705658324265506,0.6168094005178252,0.5951065509076559,0.6477272727272727,0.40187713310580203,0.386,,0.20000228919089774,3.614960339733231,7.05825827904699,,,0.000508531928062439,2.4371913274129233,5.0,,True,taylor
32.0,64.0,results/search_Qwen_20/exp_002_taylor_seq_len32_taylor_num_samples64,15.551135063171387,0.594889879729523,0.6678899082568808,0.7519042437431991,0.6784505078669588,0.5927387529597474,0.6582491582491582,0.4069965870307167,0.408,,0.20000119669891278,4.470206401372303,5.392683944109145,,,0.001862182592352231,5.502084970474243,3.0,,True,taylor
32.0,128.0,results/search_Qwen_20/exp_003_taylor_seq_len32_taylor_num_samples128,14.920412063598633,0.6091188338527412,0.6966360856269113,0.7562568008705114,0.6823341963752241,0.5919494869771112,0.6835016835016835,0.4351535836177474,0.418,,0.20000119669891278,4.883739529832199,5.599357574305292,,,0.0031105037778615947,8.339149157206217,3.0,,True,taylor
32.0,256.0,results/search_Qwen_20/exp_004_taylor_seq_len32_taylor_num_samples256,14.515380859375,0.5882294548516407,0.5678899082568807,0.766050054406964,0.683927504481179,0.590370955011839,0.6978114478114478,0.40955631399317405,0.402,,0.20000119669891278,5.4380904530724,5.624762220341978,,,0.005423917435109615,12.823245644569397,3.0,,True,taylor
32.0,512.0,results/search_Qwen_20/exp_005_taylor_seq_len32_taylor_num_samples512,13.452628135681152,0.5805343614822173,0.5107033639143731,0.76550598476605,0.6868153754232225,0.606156274664562,0.6847643097643098,0.4197952218430034,0.39,,0.19909056261051397,5.439043775624393,5.802945151841678,,,0.008682514851291975,20.90284492572149,3.0,,True,taylor
64.0,4.0,results/search_Qwen_20/exp_006_taylor_seq_len64_taylor_num_samples4,68.6278076171875,0.46055153338313864,0.5920489296636086,0.6022850924918389,0.37641904003186616,0.5382794001578532,0.49957912457912457,0.28924914675767915,0.326,,0.19917231462612806,3.181018381980007,5.356055656778723,,,0.00026930371920267737,1.2150084177652996,6.0,,True,taylor
64.0,64.0,results/search_Qwen_20/exp_007_taylor_seq_len64_taylor_num_samples64,13.408692359924316,0.5846857658702241,0.7281345565749235,0.7187159956474428,0.643397729535949,0.6385161799526441,0.6203703703703703,0.3856655290102389,0.358,,0.2000001546296348,7.711641940809486,2.600961456652014,,,0.0036308386673529944,2.8015209635098772,5.0,,True,taylor
64.0,128.0,results/search_Qwen_20/exp_008_taylor_seq_len64_taylor_num_samples128,13.545724868774414,0.5616115656742442,0.5715596330275229,0.719804134929271,0.6484763991236805,0.6448303078137332,0.6115319865319865,0.3890784982935154,0.346,,0.2000000201690828,6.8960290977538286,2.6187163922787895,,,0.006266422259310882,5.0751343940695115,5.0,,True,taylor
64.0,256.0,results/search_Qwen_20/exp_009_taylor_seq_len64_taylor_num_samples256,13.097539901733398,0.5865129295867136,0.6948012232415902,0.736126224156692,0.6622186815375424,0.6614048934490924,0.6191077441077442,0.38993174061433444,0.342,,0.19999892767709782,6.463081106000777,2.8908172886676122,,,0.010400874695430199,10.170328417172033,5.0,,True,taylor
64.0,512.0,results/search_Qwen_20/exp_010_taylor_seq_len64_taylor_num_samples512,13.119001388549805,0.5938731875174182,0.7587155963302752,0.7415669205658324,0.6612228639713205,0.665351223362273,0.6102693602693603,0.3779863481228669,0.342,,0.19999924702090882,6.188952734203637,3.2097210381418098,,,0.016398655017837882,19.160255073880155,5.0,,True,taylor
128.0,4.0,results/search_Qwen_20/exp_011_taylor_seq_len128_taylor_num_samples4,487.4761657714844,0.42653298994389155,0.563302752293578,0.5663764961915125,0.3296156144194384,0.531965272296764,0.43476430976430974,0.25170648464163825,0.308,,0.20000106223836078,3.031212079321263,4.220911679736224,,,0.00017420947551727295,0.6230281988779705,6.0,,True,taylor
