taylor_seq_len,taylor_num_samples,output_dir,ppl,acc_mean,acc_boolq,acc_piqa,acc_hellaswag,acc_winogrande,acc_arc_easy,acc_arc_challenge,acc_openbookqa,params_count,pruning_ratio,grad_mean_ratio,grad_norm_ratio,grad_std_ratio,grad_max_ratio,grad_mean_range,grad_norm_range,extreme_pruning_layers,elapsed_time,success,pruning_method
32.0,4.0,results/search_Llama_20/exp_001_taylor_seq_len32_taylor_num_samples4,33.643943786621094,0.4663316401057679,0.5152905198776758,0.6637649619151251,0.4310894244174467,0.5493291239147593,0.4924242424242424,0.2824232081911262,0.33,,0.1999996939576529,7.113889538228706,8.211021001293698,,,0.0017893248134189,10.052130805121529,3.0,1023.0611808300018,True,taylor
32.0,64.0,results/search_Llama_20/exp_002_taylor_seq_len32_taylor_num_samples64,11.839380264282228,0.5616132621527739,0.6342507645259939,0.7366702937976061,0.6096395140410277,0.6614048934490924,0.577020202020202,0.3703071672354949,0.342,,0.1999996939576529,12.997223902875511,9.94346346610508,,,0.0233227300147215,88.16356934441461,0.0,952.1415247917176,True,taylor
32.0,128.0,results/search_Llama_20/exp_003_taylor_seq_len32_taylor_num_samples128,13.074614524841309,0.5480072889545371,0.4908256880733945,0.721436343852013,0.6184027086237801,0.6574585635359116,0.6127946127946128,0.3771331058020478,0.358,,0.1999991838870744,15.140653459116518,11.058260681619048,,,0.0993435020662016,384.1127634048462,0.0,1021.7536733150482,True,taylor
32.0,512.0,results/search_Llama_20/exp_005_taylor_seq_len32_taylor_num_samples512,12.094829559326172,0.5417438643592533,0.4798165137614679,0.7285092491838956,0.6234813782115116,0.6550907655880032,0.5938552188552189,0.3694539249146757,0.342,,0.199998673816496,15.555552361313383,11.226429553772457,,,0.3054945543925795,1184.5303813351525,0.0,1065.9397282600405,True,taylor
64.0,4.0,results/search_Llama_20/exp_006_taylor_seq_len64_taylor_num_samples4,22.86563873291016,0.4783720460639486,0.600611620795107,0.675734494015234,0.4547898824935272,0.5509076558800315,0.4764309764309764,0.2841296928327645,0.306,,0.1999991838870744,5.586072348890666,6.793441864762354,,,0.0009998281796773,5.781841701931423,3.0,1071.0548009872437,True,taylor
64.0,64.0,results/search_Llama_20/exp_007_taylor_seq_len64_taylor_num_samples64,12.74753761291504,0.5797992634377084,0.6932721712538227,0.7285092491838956,0.6223859788886676,0.6685082872928176,0.5921717171717171,0.3677474402730375,0.386,,0.1999038006889013,16.440938717336103,11.86313191106968,,,0.0539818737241956,205.19742986891004,0.0,1102.353457927704,True,taylor
64.0,128.0,results/search_Llama_20/exp_008_taylor_seq_len64_taylor_num_samples128,13.848101615905762,0.5733787220583333,0.6966360856269113,0.7317736670293797,0.6200955984863573,0.6724546172059984,0.5711279461279462,0.3455631399317406,0.376,,0.199998673816496,17.122734902582707,12.174176803043103,,,0.2230542831950717,851.3379388385349,0.0,1039.229317188263,True,taylor
64.0,256.0,results/search_Llama_20/exp_009_taylor_seq_len64_taylor_num_samples256,13.370990753173828,0.5744591476356565,0.7030581039755351,0.7317736670293797,0.6189006174068911,0.6614048934490924,0.5711279461279462,0.3549488054607508,0.38,,0.199998673816496,17.25301353098022,12.232705634556853,,,0.4951955245600806,1890.942325539059,0.0,4055.471466064453,True,taylor
64.0,512.0,results/search_Llama_20/exp_010_taylor_seq_len64_taylor_num_samples512,13.253958702087402,0.5755173937920545,0.6944954128440367,0.735038084874864,0.6167098187612029,0.6614048934490924,0.5854377104377104,0.3515358361774744,0.384,,0.1999996939576529,17.211902691487904,12.204497366665793,,,0.7096331268548965,2710.250229067273,0.0,1103.402395248413,True,taylor
128.0,4.0,results/search_Llama_20/exp_011_taylor_seq_len128_taylor_num_samples4,20.56978988647461,0.5221020648297223,0.6388379204892967,0.6877040261153428,0.4930292770364469,0.6037884767166535,0.5597643097643098,0.3395904436860068,0.332,,0.199998673816496,14.849667202418887,11.121437830071898,,,0.0061252448293897,23.13998074001736,0.0,1179.0779311656952,True,taylor
128.0,64.0,results/search_Llama_20/exp_012_taylor_seq_len128_taylor_num_samples64,13.634117126464844,0.5705868811190222,0.6654434250764526,0.7301414581066377,0.6226847241585342,0.6582478295185478,0.5812289562289562,0.3583617747440273,0.378,,0.1998482029958485,18.15302827549875,12.6468841200045,,,0.1524263326492574,576.304398006863,0.0,1020.5379164218904,True,taylor
128.0,128.0,results/search_Llama_20/exp_013_taylor_seq_len128_taylor_num_samples128,13.513177871704102,0.5739810734862962,0.6571865443425077,0.7317736670293797,0.6218880701055567,0.6685082872928176,0.6073232323232324,0.3651877133105802,0.366,,0.1993483338289519,18.52476819035252,12.824383721390513,,,0.470344601612952,1776.4111236996123,0.0,1135.9083094596865,True,taylor
128.0,256.0,results/search_Llama_20/exp_014_taylor_seq_len128_taylor_num_samples256,13.801411628723145,0.5676175927334997,0.6507645259938838,0.7306855277475517,0.6085441147181836,0.6558800315706393,0.6031144781144782,0.3643344709897611,0.36,,0.1999991838870744,18.737861592758723,12.948375164410807,,,0.9434562020210756,3563.03610112932,0.0,1045.7242090702057,True,taylor
128.0,512.0,results/search_Llama_20/exp_015_taylor_seq_len128_taylor_num_samples512,13.655562400817873,0.5689117270415132,0.6596330275229357,0.7306855277475517,0.6236805417247561,0.6582478295185478,0.5765993265993266,0.3515358361774744,0.382,,0.1999996939576529,18.616860372513425,12.880433193875929,,,1.4974217427790997,5655.24126291275,0.0,1097.8142013549805,True,taylor
